,name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average
474,Jacksonville State University,475,"JACKSONVILLE, AL",B,55,10689,930-1160,JACKSONVILLE, AL,930,1160,1045.0
475,Vanguard University of Southern California,476,"COSTA MESA, CA",B,49,20376,970-1160,COSTA MESA, CA,970,1160,1065.0
476,St. Joseph's College - New York,477,"BROOKLYN, NY",B,71,16363,990-1190,BROOKLYN, NY,990,1190,1090.0
477,South Dakota State University,478,"BROOKINGS, SD",B,90,18195,1050-1260,BROOKINGS, SD,1050,1260,1155.0
478,Juniata College,479,"HUNTINGDON, PA",B,71,26844,,HUNTINGDON, PA,,,
479,Simmons University,480,"BOSTON, MA",B,73,30841,1110-1290,BOSTON, MA,1110,1290,1200.0
480,Xavier University,481,"CINCINNATI, OH",B,76,32429,1070-1280,CINCINNATI, OH,1070,1280,1175.0
481,California State University - Maritime Academy,482,"VALLEJO, CA",B,76,18882,960-1190,VALLEJO, CA,960,1190,1075.0
482,Minot State University,483,"MINOT, ND",B,67,11635,910-1140,MINOT, ND,910,1140,1025.0
483,College for Creative Studies,484,"DETROIT, MI",B,44,38539,960-1190,DETROIT, MI,960,1190,1075.0
484,Florida College,485,"TEMPLE TERRACE, FL",B,75,19964,970-1220,TEMPLE TERRACE, FL,970,1220,1095.0
485,Saint Vincent College - Pennsylvania,486,"LATROBE, PA",B,68,21426,1030-1240,LATROBE, PA,1030,1240,1135.0
486,Western Washington University,487,"BELLINGHAM, WA",B,90,17728,1060-1280,BELLINGHAM, WA,1060,1280,1170.0
487,Nova Southeastern University,488,"FORT LAUDERDALE, FL",B,80,24776,1070-1280,FORT LAUDERDALE, FL,1070,1280,1175.0
488,Regis University,489,"DENVER, CO",B,71,27565,1030-1240,DENVER, CO,1030,1240,1135.0
489,Metropolitan State University - Minnesota,490,"SAINT PAUL, MN",B,56,15056,,SAINT PAUL, MN,,,
490,Ball State University,491,"MUNCIE, IN",B,77,13533,1080-1240,MUNCIE, IN,1080,1240,1160.0
491,University of Wisconsin - Whitewater,492,"WHITEWATER, WI",B,79,12309,890-1110,WHITEWATER, WI,890,1110,1000.0
492,Indiana University-Purdue University - Indianapolis (IUPUI),493,"INDIANAPOLIS, IN",B,81,9807,1000-1200,INDIANAPOLIS, IN,1000,1200,1100.0
493,Trinity Christian College,494,"PALOS HEIGHTS, IL",B,69,23177,970-1150,PALOS HEIGHTS, IL,970,1150,1060.0
494,California State University - Northridge,495,"NORTHRIDGE, CA",B,59,8694,910-1130,NORTHRIDGE, CA,910,1130,1020.0
495,East Carolina University,496,"GREENVILLE, NC",B,79,13635,1040-1190,GREENVILLE, NC,1040,1190,1115.0
496,Pacific University Oregon,497,"FOREST GROVE, OR",B,87,29432,1060-1260,FOREST GROVE, OR,1060,1260,1160.0
497,Avila University,498,"KANSAS CITY, MO",B,41,17048,1000-1160,KANSAS CITY, MO,1000,1160,1080.0
