,name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average
276,Seton Hall University,277,"SOUTH ORANGE, NJ",A,74,30909,1150-1330,SOUTH ORANGE, NJ,1150,1330,1240.0
277,St. Bonaventure University,278,"ST. BONAVENTURE, NY",A,75,23445,1030-1240,ST. BONAVENTURE, NY,1030,1240,1135.0
278,Willamette University,279,"SALEM, OR",A,78,36223,1100-1330,SALEM, OR,1100,1330,1215.0
279,Taylor University,280,"UPLAND, IN",A,68,26703,1080-1310,UPLAND, IN,1080,1310,1195.0
280,Pacific Lutheran University,281,"TACOMA, WA",B+,86,25362,1080-1290,TACOMA, WA,1080,1290,1185.0
281,The University of Alabama in Huntsville,282,"HUNTSVILLE, AL",B+,83,15118,1240-1490,HUNTSVILLE, AL,1240,1490,1365.0
282,University of Wisconsin - La Crosse,283,"LA CROSSE, WI",B+,73,12167,,LA CROSSE, WI,,,
283,Bard College,284,"ANNANDALE-ON-HUDSON, NY",B+,65,27652,,ANNANDALE-ON-HUDSON, NY,,,
284,University of the Sciences,285,"PHILADELPHIA, PA",B+,71,34888,1120-1310,PHILADELPHIA, PA,1120,1310,1215.0
285,University of Minnesota Crookston,286,"CROOKSTON, MN",B+,68,11483,1000-1180,CROOKSTON, MN,1000,1180,1090.0
286,The University of Baltimore,287,"BALTIMORE, MD",B+,78,23335,970-1140,BALTIMORE, MD,970,1140,1055.0
287,John Brown University,288,"SILOAM SPRINGS, AR",B+,76,21912,1060-1260,SILOAM SPRINGS, AR,1060,1260,1160.0
288,Illinois Institute of Technology,289,"CHICAGO, IL",B+,60,26708,1190-1400,CHICAGO, IL,1190,1400,1295.0
289,Cedarville University,290,"CEDARVILLE, OH",B+,79,23827,1120-1350,CEDARVILLE, OH,1120,1350,1235.0
290,"Stony Brook University, SUNY",291,"STONY BROOK, NY",B+,44,15605,1230-1440,STONY BROOK, NY,1230,1440,1335.0
291,Loyola University Chicago,292,"CHICAGO, IL",B+,67,36388,1130-1320,CHICAGO, IL,1130,1320,1225.0
292,Bryant University,293,"SMITHFIELD, RI",B+,71,40038,1050-1220,SMITHFIELD, RI,1050,1220,1135.0
293,University of Idaho,294,"MOSCOW, ID",B+,78,15017,1010-1240,MOSCOW, ID,1010,1240,1125.0
294,University of Kentucky,295,"LEXINGTON, KY",B+,96,18958,1070-1320,LEXINGTON, KY,1070,1320,1195.0
295,The Master's University,296,"SANTA CLARITA, CA",B+,67,30268,990-1250,SANTA CLARITA, CA,990,1250,1120.0
296,University of Louisville,297,"LOUISVILLE, KY",B+,69,17490,1070-1290,LOUISVILLE, KY,1070,1290,1180.0
297,Loras College,298,"DUBUQUE, IA",B+,75,21751,960-1140,DUBUQUE, IA,960,1140,1050.0
298,Clarkson University,299,"POTSDAM, NY",B+,75,29891,1160-1350,POTSDAM, NY,1160,1350,1255.0
299,Seattle Pacific University,300,"SEATTLE, WA",B+,91,27947,1020-1250,SEATTLE, WA,1020,1250,1135.0
300,The Catholic University of America,301,"WASHINGTON, DC",B+,85,36331,1020-1230,WASHINGTON, DC,1020,1230,1125.0
301,Southwestern University,302,"GEORGETOWN, TX",B+,49,27757,1140-1320,GEORGETOWN, TX,1140,1320,1230.0
302,Allegheny College,303,"MEADVILLE, PA",B+,62,24227,1170-1360,MEADVILLE, PA,1170,1360,1265.0
303,University of Missouri - Kansas City,304,"KANSAS CITY, MO",B+,61,14921,980-1330,KANSAS CITY, MO,980,1330,1155.0
304,University of Evansville,305,"EVANSVILLE, IN",B+,71,21978,1090-1290,EVANSVILLE, IN,1090,1290,1190.0
305,St. Mary's College of Maryland,306,"ST. MARY'S CITY, MD",B+,84,20996,1060-1290,ST. MARY'S CITY, MD,1060,1290,1175.0
306,Earlham College,307,"RICHMOND, IN",B+,63,23043,1100-1370,RICHMOND, IN,1100,1370,1235.0
307,Hollins University,308,"ROANOKE, VA",B+,71,20457,1070-1300,ROANOKE, VA,1070,1300,1185.0
308,New Mexico Tech,309,"SOCORRO, NM",B+,80,14908,1170-1380,SOCORRO, NM,1170,1380,1275.0
309,Cornell College,310,"MOUNT VERNON, IA",B+,62,28566,1100-1340,MOUNT VERNON, IA,1100,1340,1220.0
310,The New School,311,"NEW YORK, NY",B+,57,50377,1150-1380,NEW YORK, NY,1150,1380,1265.0
311,Dordt University,312,"SIOUX CENTER, IA",B+,75,26570,1030-1340,SIOUX CENTER, IA,1030,1340,1185.0
312,SUNY College of Environmental Science & Forestry,313,"SYRACUSE, NY",B+,70,20215,1120-1300,SYRACUSE, NY,1120,1300,1210.0
313,Bradley University,314,"PEORIA, IL",B+,70,26791,1070-1270,PEORIA, IL,1070,1270,1170.0
314,Concordia College,315,"MOORHEAD, MN",B+,68,23970,960-1340,MOORHEAD, MN,960,1340,1150.0
315,Loyola University New Orleans,316,"NEW ORLEANS, LA",B+,75,24494,1050-1260,NEW ORLEANS, LA,1050,1260,1155.0
316,University of Vermont,317,"BURLINGTON, VT",B+,67,19185,1180-1360,BURLINGTON, VT,1180,1360,1270.0
317,CUNY Lehman College,318,"BRONX, NY",B+,38,2709,1010-1130,BRONX, NY,1010,1130,1070.0
318,Agnes Scott College,319,"DECATUR, GA",B+,65,21893,,DECATUR, GA,,,
319,Virginia Commonwealth University,320,"RICHMOND, VA",B+,87,20968,1070-1260,RICHMOND, VA,1070,1260,1165.0
320,CUNY John Jay College of Criminal Justice,321,"NEW YORK, NY",B+,41,3814,980-1130,NEW YORK, NY,980,1130,1055.0
321,Hampden-Sydney College,322,"HAMPDEN-SYDNEY, VA",B+,57,34853,1060-1320,HAMPDEN-SYDNEY, VA,1060,1320,1190.0
322,New Jersey Institute of Technology,323,"NEWARK, NJ",B+,73,18359,1190-1390,NEWARK, NJ,1190,1390,1290.0
323,University of Puget Sound,324,"TACOMA, WA",B+,84,39011,1110-1330,TACOMA, WA,1110,1330,1220.0
324,New Mexico State University,325,"LAS CRUCES, NM",B+,55,9930,950-1150,LAS CRUCES, NM,950,1150,1050.0
325,Franciscan Missionaries of Our Lady University,326,"BATON ROUGE, LA",B+,57,15073,,BATON ROUGE, LA,,,
326,William Carey University,327,"HATTIESBURG, MS",B+,55,10397,950-1180,HATTIESBURG, MS,950,1180,1065.0
327,St. Mary's University,328,"SAN ANTONIO, TX",B+,79,19528,1040-1220,SAN ANTONIO, TX,1040,1220,1130.0
328,Fashion Institute of Technology,329,"NEW YORK, NY",B+,54,8623,,NEW YORK, NY,,,
329,University of Illinois at Chicago,330,"CHICAGO, IL",B+,73,12322,1030-1260,CHICAGO, IL,1030,1260,1145.0
330,University of West Florida,331,"PENSACOLA, FL",B+,31,7515,1080-1260,PENSACOLA, FL,1080,1260,1170.0
331,William Jessup University,332,"ROCKLIN, CA",B+,65,22968,950-1210,ROCKLIN, CA,950,1210,1080.0
332,St. John Fisher College,333,"ROCHESTER, NY",B+,64,28468,1070-1260,ROCHESTER, NY,1070,1260,1165.0
333,Pratt Institute,334,"BROOKLYN, NY",B+,56,45880,1160-1380,BROOKLYN, NY,1160,1380,1270.0
334,Utah State University,335,"LOGAN, UT",B+,91,13452,1050-1310,LOGAN, UT,1050,1310,1180.0
335,Christopher Newport University,336,"NEWPORT NEWS, VA",B+,72,25443,1110-1280,NEWPORT NEWS, VA,1110,1280,1195.0
336,Centre College,337,"DANVILLE, KY",B+,76,24226,1130-1380,DANVILLE, KY,1130,1380,1255.0
337,St. Catherine University,338,"SAINT PAUL, MN",B+,67,20172,1080-1270,SAINT PAUL, MN,1080,1270,1175.0
338,University of La Verne,339,"LA VERNE, CA",B+,55,27933,1040-1190,LA VERNE, CA,1040,1190,1115.0
339,Spelman College,340,"ATLANTA, GA",B+,43,43042,1080-1230,ATLANTA, GA,1080,1230,1155.0
340,Oral Roberts University,341,"TULSA, OK",B+,68,20872,990-1240,TULSA, OK,990,1240,1115.0
341,Berea College,342,"BEREA, KY",B+,30,5156,1090-1300,BEREA, KY,1090,1300,1195.0
342,Manhattan College,343,"RIVERDALE, NY",B+,74,29943,1060-1280,RIVERDALE, NY,1060,1280,1170.0
343,Westmont College,344,"SANTA BARBARA, CA",B+,65,32663,1100-1330,SANTA BARBARA, CA,1100,1330,1215.0
344,University of North Carolina - Wilmington,345,"WILMINGTON, NC",B+,65,17981,1170-1320,WILMINGTON, NC,1170,1320,1245.0
345,Johnson University,346,"KNOXVILLE, TN",B+,53,18921,1010-1210,KNOXVILLE, TN,1010,1210,1110.0
346,Nebraska Wesleyan University,347,"LINCOLN, NE",B+,68,24015,1070-1240,LINCOLN, NE,1070,1240,1155.0
347,Marist College,348,"POUGHKEEPSIE, NY",B+,49,38715,,POUGHKEEPSIE, NY,,,
348,University of St. Thomas - Texas,349,"HOUSTON, TX",B+,87,19544,1060-1240,HOUSTON, TX,1060,1240,1150.0
349,The University of Virginia's College at Wise,350,"WISE, VA",B+,59,10432,970-1160,WISE, VA,970,1160,1065.0
350,Hanover College,351,"HANOVER, IN",B+,65,22376,1030-1240,HANOVER, IN,1030,1240,1135.0
351,University of Northern Iowa,352,"CEDAR FALLS, IA",B+,79,15760,980-1240,CEDAR FALLS, IA,980,1240,1110.0
352,Saint John's University - Minnesota,353,"COLLEGEVILLE, MN",B+,78,27126,1000-1180,COLLEGEVILLE, MN,1000,1180,1090.0
353,George Mason University,354,"FAIRFAX, VA",B+,87,20157,1110-1320,FAIRFAX, VA,1110,1320,1215.0
354,University of Minnesota Duluth,355,"DULUTH, MN",B+,75,16828,1110-1360,DULUTH, MN,1110,1360,1235.0
355,University of Nevada - Reno,356,"RENO, NV",B+,88,16253,1070-1290,RENO, NV,1070,1290,1180.0
356,California Baptist University,357,"RIVERSIDE, CA",B+,78,23055,990-1210,RIVERSIDE, CA,990,1210,1100.0
357,California State University - Fullerton,358,"FULLERTON, CA",B+,53,8294,1030-1200,FULLERTON, CA,1030,1200,1115.0
358,Eastern Mennonite University,359,"HARRISONBURG, VA",B+,65,24936,980-1220,HARRISONBURG, VA,980,1220,1100.0
359,Northwestern College - Iowa,360,"ORANGE CITY, IA",B+,70,24085,1030-1250,ORANGE CITY, IA,1030,1250,1140.0
360,Azusa Pacific University,361,"AZUSA, CA",B+,67,27707,1030-1260,AZUSA, CA,1030,1260,1145.0
361,University of North Carolina School of the Arts,362,"WINSTON SALEM, NC",B+,29,12579,1090-1290,WINSTON SALEM, NC,1090,1290,1190.0
362,University of North Texas,363,"DENTON, TX",B+,74,14020,1060-1250,DENTON, TX,1060,1250,1155.0
363,SUNY Maritime College,364,"THROGGS NECK, NY",B+,74,18411,1090-1260,THROGGS NECK, NY,1090,1260,1175.0
364,University of California - Santa Cruz,365,"SANTA CRUZ, CA",B+,51,17889,1200-1380,SANTA CRUZ, CA,1200,1380,1290.0
365,D'Youville,366,"BUFFALO, NY",B+,88,19659,1080-1200,BUFFALO, NY,1080,1200,1140.0
366,Millsaps College,367,"JACKSON, MS",B+,69,24457,1080-1290,JACKSON, MS,1080,1290,1185.0
367,The College of Idaho,368,"CALDWELL, ID",B+,49,21043,920-1190,CALDWELL, ID,920,1190,1055.0
368,Maryville University,369,"SAINT LOUIS, MO",B+,83,29357,1040-1250,SAINT LOUIS, MO,1040,1250,1145.0
369,University of North Florida,370,"JACKSONVILLE, FL",B+,72,9857,1090-1260,JACKSONVILLE, FL,1090,1260,1175.0
370,Seattle University,371,"SEATTLE, WA",B+,78,35569,1150-1320,SEATTLE, WA,1150,1320,1235.0
371,University of North Dakota,372,"GRAND FORKS, ND",B+,81,15654,1010-1250,GRAND FORKS, ND,1010,1250,1130.0
372,Howard University,373,"WASHINGTON, DC",B+,36,21428,1130-1280,WASHINGTON, DC,1130,1280,1205.0
373,Truman State University,374,"KIRKSVILLE, MO",B+,63,12912,1150-1350,KIRKSVILLE, MO,1150,1350,1250.0
374,Manhattan School of Music,375,"NEW YORK, NY",B+,36,41832,,NEW YORK, NY,,,
375,University of Michigan - Dearborn,376,"DEARBORN, MI",B+,62,10634,1070-1300,DEARBORN, MI,1070,1300,1185.0
376,Montana State University,377,"BOZEMAN, MT",B+,82,16746,1090-1310,BOZEMAN, MT,1090,1310,1200.0
377,Bob Jones University,378,"GREENVILLE, SC",B+,100,14570,960-1180,GREENVILLE, SC,960,1180,1070.0
378,University of Massachusetts - Lowell,379,"LOWELL, MA",B+,73,18183,1150-1320,LOWELL, MA,1150,1320,1235.0
379,Austin College,380,"SHERMAN, TX",B+,51,23824,1110-1310,SHERMAN, TX,1110,1310,1210.0
380,Mississippi College,381,"CLINTON, MS",B+,42,18040,1060-1230,CLINTON, MS,1060,1230,1145.0
381,College of Saint Benedict,382,"SAINT JOSEPH, MN",B+,80,28177,1040-1260,SAINT JOSEPH, MN,1040,1260,1150.0
382,University of North Carolina at Charlotte,383,"CHARLOTTE, NC",B+,65,15200,1120-1290,CHARLOTTE, NC,1120,1290,1205.0
383,North Dakota State University,384,"FARGO, ND",B+,94,16330,1040-1260,FARGO, ND,1040,1260,1150.0
384,Florida Atlantic University,385,"BOCA RATON, FL",B+,63,9861,1080-1240,BOCA RATON, FL,1080,1240,1160.0
385,SUNY New Paltz,386,"NEW PALTZ, NY",B+,45,15496,1090-1280,NEW PALTZ, NY,1090,1280,1185.0
386,Susquehanna University,387,"SELINSGROVE, PA",B+,72,27079,1020-1230,SELINSGROVE, PA,1020,1230,1125.0
387,University of Nebraska at Kearney,388,"KEARNEY, NE",B+,85,15890,990-1170,KEARNEY, NE,990,1170,1080.0
388,Arizona State University - Downtown Phoenix Campus,389,"PHOENIX, AZ",B+,82,13764,1080-1270,PHOENIX, AZ,1080,1270,1175.0
389,Wheaton College - Massachusetts,390,"NORTON, MA",B+,74,29688,1180-1350,NORTON, MA,1180,1350,1265.0
390,University of Washington - Bothell,391,"BOTHELL, WA",B+,74,9469,1020-1260,BOTHELL, WA,1020,1260,1140.0
391,Alfred University,392,"ALFRED, NY",B+,62,21646,940-1180,ALFRED, NY,940,1180,1060.0
392,University of Southern Mississippi,393,"HATTIESBURG, MS",B+,97,14485,940-1190,HATTIESBURG, MS,940,1190,1065.0
393,Towson University,394,"TOWSON, MD",B+,76,16161,1060-1220,TOWSON, MD,1060,1220,1140.0
394,Whittier College,395,"WHITTIER, CA",B+,57,26363,1040-1220,WHITTIER, CA,1040,1220,1130.0
395,Birmingham-Southern College,396,"BIRMINGHAM, AL",B+,54,23452,1110-1310,BIRMINGHAM, AL,1110,1310,1210.0
396,University of Tampa,397,"TAMPA, FL",B+,45,31278,1100-1250,TAMPA, FL,1100,1250,1175.0
397,Roanoke College,398,"SALEM, VA",B+,75,27180,1050-1260,SALEM, VA,1050,1260,1155.0
398,Florida Gulf Coast University,399,"FORT MYERS, FL",B+,67,11621,1060-1210,FORT MYERS, FL,1060,1210,1135.0
399,Keiser University - Fort Lauderdale,400,"FORT LAUDERDALE, FL",B+,100,30437,,FORT LAUDERDALE, FL,,,
400,Stetson University,401,"DELAND, FL",B+,72,23761,1070-1270,DELAND, FL,1070,1270,1170.0
401,Wayne State University,402,"DETROIT, MI",B+,73,15012,1010-1230,DETROIT, MI,1010,1230,1120.0
402,Sarah Lawrence College,403,"BRONXVILLE, NY",B+,53,40630,1240-1420,BRONXVILLE, NY,1240,1420,1330.0
403,Berry College,404,"MOUNT BERRY, GA",B+,71,25192,1090-1320,MOUNT BERRY, GA,1090,1320,1205.0
404,University of Mobile,405,"MOBILE, AL",B+,46,21847,1010-1160,MOBILE, AL,1010,1160,1085.0
405,Georgia Southern University,406,"STATESBORO, GA",B+,54,15374,1050-1200,STATESBORO, GA,1050,1200,1125.0
406,Hofstra University,407,"HEMPSTEAD, NY",B+,68,32975,1160-1340,HEMPSTEAD, NY,1160,1340,1250.0
407,Southern Wesleyan University,408,"CENTRAL, SC",B+,35,17978,950-1150,CENTRAL, SC,950,1150,1050.0
408,Monmouth University,409,"WEST LONG BRANCH, NJ",B+,77,30945,1050-1240,WEST LONG BRANCH, NJ,1050,1240,1145.0
409,Gordon College,410,"WENHAM, MA",B+,74,29047,1060-1310,WENHAM, MA,1060,1310,1185.0
410,"Penn State Fayette, The Eberly Campus",411,"LEMONT FURNACE, PA",B+,80,16496,960-1190,LEMONT FURNACE, PA,960,1190,1075.0
411,Salisbury University,412,"SALISBURY, MD",B+,74,19271,1080-1230,SALISBURY, MD,1080,1230,1155.0
412,Oklahoma City University,413,"OKLAHOMA CITY, OK",B+,75,24264,1100-1300,OKLAHOMA CITY, OK,1100,1300,1200.0
413,University of Nebraska at Omaha,414,"OMAHA, NE",B+,83,12899,840-1100,OMAHA, NE,840,1100,970.0
414,Ithaca College,415,"ITHACA, NY",B+,73,34942,,ITHACA, NY,,,
415,Mount Saint Mary's University - Los Angeles,416,"LOS ANGELES, CA",B+,90,29708,920-1170,LOS ANGELES, CA,920,1170,1045.0
416,California Institute of the Arts,417,"VALENCIA, CA",B+,25,54594,,VALENCIA, CA,,,
417,Western Michigan University,418,"KALAMAZOO, MI",B+,80,17028,1000-1210,KALAMAZOO, MI,1000,1210,1105.0
418,Beloit College,419,"BELOIT, WI",B+,62,24493,1080-1380,BELOIT, WI,1080,1380,1230.0
419,Eckerd College,420,"SAINT PETERSBURG, FL",B+,67,36033,1090-1280,SAINT PETERSBURG, FL,1090,1280,1185.0
420,College of Charleston,421,"CHARLESTON, SC",B+,78,19764,1080-1260,CHARLESTON, SC,1080,1260,1170.0
421,University of Washington - Tacoma,422,"TACOMA, WA",B+,87,10620,980-1190,TACOMA, WA,980,1190,1085.0
422,New College of Florida,423,"SARASOTA, FL",B+,73,11028,1180-1360,SARASOTA, FL,1180,1360,1270.0
423,University of Mary,424,"BISMARCK, ND",B+,74,17903,1050-1280,BISMARCK, ND,1050,1280,1165.0
424,Le Moyne College,425,"SYRACUSE, NY",B+,74,23067,1070-1280,SYRACUSE, NY,1070,1280,1175.0
425,Grand Valley State University,426,"ALLENDALE, MI",B+,83,16860,1050-1250,ALLENDALE, MI,1050,1250,1150.0
426,Saint Mary's College of California,427,"MORAGA, CA",B+,81,36613,1060-1240,MORAGA, CA,1060,1240,1150.0
427,Knox College,428,"GALESBURG, IL",B+,68,23476,1090-1350,GALESBURG, IL,1090,1350,1220.0
428,Bellarmine University,429,"LOUISVILLE, KY",B+,66,23158,1060-1260,LOUISVILLE, KY,1060,1260,1160.0
429,The Christ College of Nursing & Health Sciences,430,"CINCINNATI, OH",B+,52,17443,960-1100,CINCINNATI, OH,960,1100,1030.0
430,Stonehill College,431,"EASTON, MA",B+,68,35409,1030-1230,EASTON, MA,1030,1230,1130.0
431,Lubbock Christian University,432,"LUBBOCK, TX",B+,91,23672,960-1170,LUBBOCK, TX,960,1170,1065.0
432,Northwest Nazarene University,433,"NAMPA, ID",B+,86,20559,990-1190,NAMPA, ID,990,1190,1090.0
433,Adelphi University,434,"GARDEN CITY, NY",B+,74,28130,1060-1250,GARDEN CITY, NY,1060,1250,1155.0
434,California State University - Chico,435,"CHICO, CA",B+,72,14843,990-1190,CHICO, CA,990,1190,1090.0
435,College of Saint Mary,436,"OMAHA, NE",B+,49,14299,,OMAHA, NE,,,
436,Gannon University,437,"ERIE, PA",B+,76,22009,1030-1240,ERIE, PA,1030,1240,1135.0
437,Belhaven University,438,"JACKSON, MS",B+,49,17840,902-1180,JACKSON, MS,902,1180,1041.0
438,Martin Luther College,439,"NEW ULM, MN",B+,84,20154,1070-1320,NEW ULM, MN,1070,1320,1195.0
439,Monroe College - Bronx/New Rochelle,440,"BRONX, NY",B+,48,11468,,BRONX, NY,,,
440,Stockton University,441,"GALLOWAY, NJ",B+,76,17815,1020-1210,GALLOWAY, NJ,1020,1210,1115.0
441,Coe College,442,"CEDAR RAPIDS, IA",B+,63,21081,1080-1300,CEDAR RAPIDS, IA,1080,1300,1190.0
442,Illinois State University,443,"NORMAL, IL",B+,82,20093,1020-1220,NORMAL, IL,1020,1220,1120.0
443,University of Hawaii at Manoa,444,"HONOLULU, HI",B+,58,15441,1070-1270,HONOLULU, HI,1070,1270,1170.0
444,Baldwin Wallace University,445,"BEREA, OH",B+,73,23832,1040-1250,BEREA, OH,1040,1250,1145.0
445,The College of St. Scholastica,446,"DULUTH, MN",B+,76,24636,1050-1270,DULUTH, MN,1050,1270,1160.0
446,California Lutheran University,447,"THOUSAND OAKS, CA",B+,71,29693,1070-1250,THOUSAND OAKS, CA,1070,1250,1160.0
447,Marietta College,448,"MARIETTA, OH",B+,71,21483,1010-1250,MARIETTA, OH,1010,1250,1130.0
448,University of North Carolina - Greensboro,449,"GREENSBORO, NC",B+,82,11108,1010-1180,GREENSBORO, NC,1010,1180,1095.0
449,Montclair State University,450,"MONTCLAIR, NJ",B+,76,15890,990-1180,MONTCLAIR, NJ,990,1180,1085.0
450,University of Louisiana - Lafayette,451,"LAFAYETTE, LA",B+,68,12184,1020-1270,LAFAYETTE, LA,1020,1270,1145.0
451,Shenandoah University,452,"WINCHESTER, VA",B+,74,29311,1000-1200,WINCHESTER, VA,1000,1200,1100.0
452,University of South Dakota,453,"VERMILLION, SD",B+,86,17689,990-1180,VERMILLION, SD,990,1180,1085.0
453,Abilene Christian University,454,"ABILENE, TX",B+,61,27883,1020-1230,ABILENE, TX,1020,1230,1125.0
454,West Texas A&M University,455,"CANYON, TX",B+,69,12982,940-1140,CANYON, TX,940,1140,1040.0
455,Indiana Wesleyan University,456,"MARION, IN",B+,67,21619,1020-1230,MARION, IN,1020,1230,1125.0
456,American Musical & Dramatic Academy New York,457,"NEW YORK, NY",B+,31,43810,,NEW YORK, NY,,,
457,University of California - Merced,458,"MERCED, CA",B+,72,14013,1000-1180,MERCED, CA,1000,1180,1090.0
458,CUNY City College of New York,459,"NEW YORK, NY",B+,46,3397,1040-1250,NEW YORK, NY,1040,1250,1145.0
459,Montana Technological University,460,"BUTTE, MT",B+,91,13547,1080-1260,BUTTE, MT,1080,1260,1170.0
460,University of St. Francis - Illinois,461,"JOLIET, IL",B+,46,17687,1030-1220,JOLIET, IL,1030,1220,1125.0
461,Bowling Green State University,462,"BOWLING GREEN, OH",B+,72,17427,880-1100,BOWLING GREEN, OH,880,1100,990.0
462,Dunwoody College of Technology,463,"MINNEAPOLIS, MN",B+,97,23576,,MINNEAPOLIS, MN,,,
463,Salve Regina University,464,"NEWPORT, RI",B+,74,36646,1020-1190,NEWPORT, RI,1020,1190,1105.0
464,Berklee College of Music,465,"BOSTON, MA",B+,51,43744,,BOSTON, MA,,,
465,University of Minnesota - Rochester,466,"ROCHESTER, MN",B+,60,16314,1040-1250,ROCHESTER, MN,1040,1250,1145.0
466,Spalding University,467,"LOUISVILLE, KY",B,79,22314,930-1150,LOUISVILLE, KY,930,1150,1040.0
467,SUNY Oneonta,468,"ONEONTA, NY",B,56,15688,980-1180,ONEONTA, NY,980,1180,1080.0
468,"University at Albany, SUNY",469,"ALBANY, NY",B,54,16769,1090-1250,ALBANY, NY,1090,1250,1170.0
469,University of New Hampshire at Manchester,470,"MANCHESTER, NH",B,91,12608,1000-1210,MANCHESTER, NH,1000,1210,1105.0
470,California State Polytechnic University - Pomona,471,"POMONA, CA",B,55,12843,1010-1270,POMONA, CA,1010,1270,1140.0
471,Rowan University,472,"GLASSBORO, NJ",B,74,22805,1040-1270,GLASSBORO, NJ,1040,1270,1155.0
472,Texas A&M International University,473,"LAREDO, TX",B,54,3323,910-1100,LAREDO, TX,910,1100,1005.0
473,University of Alaska Southeast,474,"JUNEAU, AK",B,61,11000,,JUNEAU, AK,,,
