name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average,state_full,state_lat,state_lng,city_lat,city_lng,college_lat,college_lng
College of the Holy Cross,83,"Worcester, MA",A+,34,34627.0,1260-1430,Worcester,MA,1260.0,1430.0,1345.0,Massachusetts,42.407211,-71.382437,42.2625932,-71.8022934,42.2392391,-71.8079608
Bucknell University,84,"Lewisburg, PA",A+,34,39493.0,1260-1430,Lewisburg,PA,1260.0,1430.0,1345.0,Pennsylvania,41.203322,-77.194525,40.9645293,-76.8844101,40.9547722,-76.88507589999999
Penn State,85,"University Park, PA",A+,56,26151.0,1160-1360,University Park,PA,1160.0,1360.0,1260.0,Pennsylvania,41.203322,-77.194525,40.8147955,-77.86531260000001,40.7982133,-77.8599084
North Carolina State University,86,"Raleigh, NC",A+,45,14958.0,1250-1420,Raleigh,NC,1250.0,1420.0,1335.0,North Carolina,35.759573,-79.0193,35.7795897,-78.6381787,35.7846633,-78.6820946
Skidmore College,87,"Saratoga Springs, NY",A+,30,23589.0,1220-1400,Saratoga Springs,NY,1220.0,1400.0,1310.0,New York,43.299428,-74.217933,43.0831301,-73.7845651,43.0956588,-73.7856989
Southern Methodist University,88,"Dallas, TX",A+,47,40404.0,1300-1480,Dallas,TX,1300.0,1480.0,1390.0,Texas,31.968599,-99.901813,32.7766642,-96.7969879,32.8412178,-96.7845175
The Ohio State University,89,"Columbus, OH",A,54,18706.0,1250-1460,Columbus,OH,1250.0,1460.0,1355.0,Ohio,40.417287,-82.907123,39.9611755,-82.99879419999999,40.0066723,-83.0304546
Mount Holyoke College,90,"South Hadley, MA",A,38,32008.0,1290-1500,South Hadley,MA,1290.0,1500.0,1395.0,Massachusetts,42.407211,-71.382437,42.2591729,-72.57479339999999,42.25536150000001,-72.5722406
University of California - Davis,91,"Davis, CA",A,39,15886.0,1170-1410,Davis,CA,1170.0,1410.0,1290.0,California,36.778261,-119.417932,38.5449065,-121.7405167,38.5382322,-121.7617125
Santa Clara University,92,"Santa Clara, CA",A,49,42114.0,1280-1440,Santa Clara,CA,1280.0,1440.0,1360.0,California,36.778261,-119.417932,37.3541079,-121.9552356,37.3496418,-121.9389875
Colorado School of Mines,93,"Golden, CO",A,53,26856.0,1160-1460,Golden,CO,1160.0,1460.0,1310.0,Colorado,39.550051,-105.782067,39.755543,-105.2210997,39.7510475,-105.2225708
Brigham Young University,94,"Provo, UT",A,67,13340.0,1210-1420,Provo,UT,1210.0,1420.0,1315.0,Utah,39.32098,-111.093731,40.2338438,-111.6585337,40.2518435,-111.6493156
University of Minnesota Twin Cities,95,"Minneapolis, MN",A,57,17279.0,1260-1480,Minneapolis,MN,1260.0,1480.0,1370.0,Minnesota,46.729553,-94.6859,44.977753,-93.2650108,44.97399,-93.2277285
Trinity University,96,"San Antonio, TX",A,29,30505.0,1290-1450,San Antonio,TX,1290.0,1450.0,1370.0,Texas,31.968599,-99.901813,29.4241219,-98.4936282,29.4607988,-98.484393
Rose-Hulman Institute of Technology,97,"Terre Haute, IN",A,74,45356.0,1250-1460,Terre Haute,IN,1250.0,1460.0,1355.0,Indiana,40.551217,-85.602364,39.4667034,-87.41390919999999,39.4833474,-87.32413489999999
Rensselaer Polytechnic Institute,98,"Troy, NY",A,47,41006.0,1290-1490,Troy,NY,1290.0,1490.0,1390.0,New York,43.299428,-74.217933,42.7284117,-73.69178509999999,42.7297628,-73.67888839999999
University of Washington,99,"Seattle, WA",A,52,10692.0,1220-1470,Seattle,WA,1220.0,1470.0,1345.0,Washington,47.751074,-120.740139,47.6062095,-122.3320708,47.6505283,-122.3093688
Clemson University,100,"Clemson, SC",A,51,21482.0,1230-1400,Clemson,SC,1230.0,1400.0,1315.0,South Carolina,33.836081,-81.163725,34.6834382,-82.8373654,34.673407,-82.8367119
University of California - San Diego,101,"La Jolla, CA",A,31,14864.0,1250-1490,La Jolla,CA,1250.0,1490.0,1370.0,California,36.778261,-119.417932,32.8328112,-117.2712717,32.8800604,-117.2340135
Bryn Mawr College,102,"Bryn Mawr, PA",A,33,33716.0,1310-1500,Bryn Mawr,PA,1310.0,1500.0,1405.0,Pennsylvania,41.203322,-77.194525,40.0230237,-75.3151772,40.0278802,-75.3144595
George Washington University,103,"Washington, DC",A,41,38829.0,1280-1470,Washington,DC,1280.0,1470.0,1375.0,District of Columbia,38.905985,-77.033418,38.9071923,-77.0368707,38.8997145,-77.0485992
Occidental College,104,"Los Angeles, CA",A,37,35362.0,1300-1480,Los Angeles,CA,1300.0,1480.0,1390.0,California,36.778261,-119.417932,34.0522342,-118.2436849,34.1273187,-118.2101144
Worcester Polytechnic Institute,105,"Worcester, MA",A,49,42393.0,1310-1480,Worcester,MA,1310.0,1480.0,1395.0,Massachusetts,42.407211,-71.382437,42.2625932,-71.8022934,42.2743015,-71.8081371
Whitman College,106,"Walla Walla, WA",A,56,41822.0,1240-1450,Walla Walla,WA,1240.0,1450.0,1345.0,Washington,47.751074,-120.740139,46.0645809,-118.3430208,46.07057990000001,-118.3306351
Scripps College,107,"Claremont, CA",A,32,39702.0,1330-1490,Claremont,CA,1330.0,1490.0,1410.0,California,36.778261,-119.417932,34.0966764,-117.7197785,34.1039266,-117.7101745
Reed College,108,"Portland, OR",A,39,32069.0,1320-1520,Portland,OR,1320.0,1520.0,1420.0,Oregon,43.804133,-120.554201,45.515232,-122.6783853,45.4810848,-122.6308086
University of Maryland - College Park,109,"College Park, MD",A,44,17723.0,1280-1470,College Park,MD,1280.0,1470.0,1375.0,Maryland,39.045755,-76.641271,38.9896967,-76.93776,38.9869183,-76.9425543
University of Pittsburgh,110,"Pittsburgh, PA",A,57,22600.0,1260-1440,Pittsburgh,PA,1260.0,1440.0,1350.0,Pennsylvania,41.203322,-77.194525,40.44062479999999,-79.9958864,40.4443533,-79.960835
Michigan State University,111,"East Lansing, MI",A,71,16579.0,1100-1320,East Lansing,MI,1100.0,1320.0,1210.0,Michigan,44.314844,-85.602364,42.7369792,-84.48386540000001,42.701848,-84.4821719
Franklin & Marshall College,112,"Lancaster, PA",A,30,27102.0,1200-1420,Lancaster,PA,1200.0,1420.0,1310.0,Pennsylvania,41.203322,-77.194525,40.0378755,-76.3055144,37.687931,-97.298645
Colorado College,113,"Colorado Springs, CO",A,14,32303.0,,Colorado Springs,CO,,,,Colorado,39.550051,-105.782067,38.8338816,-104.8213634,38.847021,-104.823665
Brandeis University,114,"Waltham, MA",A,30,37264.0,1350-1520,Waltham,MA,1350.0,1520.0,1435.0,Massachusetts,42.407211,-71.382437,42.3764852,-71.2356113,42.3657375,-71.2585661
Texas Christian University,115,"Fort Worth, TX",A,47,37509.0,1150-1350,Fort Worth,TX,1150.0,1350.0,1250.0,Texas,31.968599,-99.901813,32.7554883,-97.3307658,32.7078531,-97.3628041
Pepperdine University,116,"Malibu, CA",A,32,42135.0,1230-1450,Malibu,CA,1230.0,1450.0,1340.0,California,36.778261,-119.417932,34.0259216,-118.7797571,34.0414045,-118.7095814
Stevens Institute of Technology,117,"Hoboken, NJ",A,40,40770.0,1340-1500,Hoboken,NJ,1340.0,1500.0,1420.0,New Jersey,40.058324,-74.405661,40.7439905,-74.0323626,40.7468668,-74.0258467
University of Tulsa,118,"Tulsa, OK",A,36,23940.0,1090-1360,Tulsa,OK,1090.0,1360.0,1225.0,Oklahoma,35.007752,-97.092877,36.1539816,-95.992775,36.1520526,-95.9460753
St. Olaf College,119,"Northfield, MN",A,48,27779.0,1190-1430,Northfield,MN,1190.0,1430.0,1310.0,Minnesota,46.729553,-94.6859,44.4582983,-93.161604,44.4621319,-93.1840281
Indiana University - Bloomington,120,"Bloomington, IN",A,78,13036.0,1150-1360,Bloomington,IN,1150.0,1360.0,1255.0,Indiana,40.551217,-85.602364,39.165325,-86.52638569999999,39.1754487,-86.512627
Wheaton College - Illinois,121,"Wheaton, IL",A,85,28795.0,1220-1440,Wheaton,IL,1220.0,1440.0,1330.0,Illinois,40.633125,-89.398528,41.8661403,-88.1070127,41.86947,-88.096826
Rhode Island School of Design,122,"Providence, RI",A,26,39791.0,1230-1470,Providence,RI,1230.0,1470.0,1350.0,Rhode Island,41.580095,-71.477429,41.8239891,-71.4128343,41.8258538,-71.4077368
Pitzer College,123,"Claremont, CA",A,14,36552.0,1300-1450,Claremont,CA,1300.0,1450.0,1375.0,California,36.778261,-119.417932,34.0966764,-117.7197785,34.1042832,-117.7050738
Loyola Marymount University,124,"Los Angeles, CA",A,44,47292.0,1230-1410,Los Angeles,CA,1230.0,1410.0,1320.0,California,36.778261,-119.417932,34.0522342,-118.2436849,33.9701634,-118.4166111
Gettysburg College,125,"Gettysburg, PA",A,48,34720.0,1200-1370,Gettysburg,PA,1200.0,1370.0,1285.0,Pennsylvania,41.203322,-77.194525,39.8309293,-77.2310955,39.8356944,-77.2356339
Michigan Technological University,126,"Houghton, MI",A,74,17814.0,1170-1370,Houghton,MI,1170.0,1370.0,1270.0,Michigan,44.314844,-85.602364,47.12113309999999,-88.5694182,47.119148,-88.54678
University of Massachusetts - Amherst,127,"Amherst, MA",A,64,22927.0,1190-1390,Amherst,MA,1190.0,1390.0,1290.0,Massachusetts,42.407211,-71.382437,42.3732216,-72.5198537,42.3867598,-72.5300515
Saint Louis University,128,"St. Louis, MO",A,58,31098.0,1170-1380,St. Louis,MO,1170.0,1380.0,1275.0,Missouri,37.964253,-91.831833,38.6270025,-90.1994042,38.63586129999999,-90.2341599
Furman University,129,"Greenville, SC",A,57,35621.0,1240-1420,Greenville,SC,1240.0,1420.0,1330.0,South Carolina,33.836081,-81.163725,34.85261759999999,-82.3940104,34.9260157,-82.44007239999999
