name,college_lat,college_lng
University of North Dakota,47.922891,-97.0768014
Howard University,38.9226843,-77.0194377
Truman State University,40.1831629,-92.5809621
Manhattan School of Music,40.8127119,-73.9616041
University of Michigan - Dearborn,42.31763429999999,-83.2320299
Montana State University,45.6673524,-111.0546211
Bob Jones University,34.8725832,-82.3624705
University of Massachusetts - Lowell,42.6552587,-71.3247164
Austin College,33.6474801,-96.5979639
Mississippi College,32.3358902,-90.3305927
College of Saint Benedict,45.5796783,-94.3944417
University of North Carolina at Charlotte,35.3070929,-80.735164
North Dakota State University,46.8977528,-96.8024367
Florida Atlantic University,26.3749876,-80.10106329999999
SUNY New Paltz,41.7390054,-74.0851655
Susquehanna University,40.79607290000001,-76.8774454
University of Nebraska at Kearney,40.7011879,-99.1014292
Arizona State University - Downtown Phoenix Campus,33.453931,-112.0705602
Wheaton College - Massachusetts,41.9672177,-71.1839593
University of Washington - Bothell,47.7589719,-122.190707
Alfred University,42.253418,-77.78770519999999
University of Southern Mississippi,31.3298668,-89.33345349999999
Towson University,39.3925121,-76.61263919999999
Whittier College,33.97773129999999,-118.0292132
Birmingham-Southern College,33.5159411,-86.8510103
University of Tampa,27.9468757,-82.46722659999999
Roanoke College,37.2974467,-80.05526660000001
Florida Gulf Coast University,26.4637116,-81.7752618
Keiser University - Fort Lauderdale,26.1859293,-80.1640417
Stetson University,29.0348652,-81.30091589999999
Wayne State University,42.3591388,-83.06654619999999
Sarah Lawrence College,40.93459,-73.8455821
Berry College,34.290361,-85.189199
University of Mobile,30.79250759999999,-88.13134869999999
Georgia Southern University,32.42054890000001,-81.78653469999999
Hofstra University,40.7166872,-73.5993965
Southern Wesleyan University,34.7279866,-82.76513779999999
Monmouth University,40.2802758,-74.0054114
Gordon College,42.5907969,-70.8237211
"Penn State Fayette, The Eberly Campus",39.9459689,-79.6604265
Salisbury University,38.3453519,-75.606138
Oklahoma City University,35.495481,-97.54101109999999
University of Nebraska at Omaha,41.2580268,-96.010696
Ithaca College,42.4244847,-76.4937786
Mount Saint Mary's University - Los Angeles,34.085238,-118.4823817
California Institute of the Arts,34.3927517,-118.5673382
Western Michigan University,42.2826709,-85.6146739
Beloit College,42.5030333,-89.0309048
Eckerd College,27.7147304,-82.6864622
College of Charleston,32.7882207,-79.9591561
University of Washington - Tacoma,47.2450749,-122.4380389
New College of Florida,27.384828,-82.558703
University of Mary,46.7218585,-100.7529974
Le Moyne College,43.0497018,-76.0855042
Grand Valley State University,42.9641221,-85.8890404
Saint Mary's College of California,37.8401949,-122.1112619
Knox College,40.9433331,-90.3704499
Bellarmine University,38.2184939,-85.7055271
The Christ College of Nursing & Health Sciences,39.1217858,-84.5094924
Stonehill College,42.058162,-71.08080029999999
Lubbock Christian University,33.5772191,-101.9347655
Northwest Nazarene University,43.56148109999999,-116.5665422
Adelphi University,40.7198865,-73.6522537
California State University - Chico,39.7287566,-121.8476287
College of Saint Mary,41.23997190000001,-96.0219357
Gannon University,42.1282555,-80.0867478
Belhaven University,32.320011,-90.1690869
Martin Luther College,44.3045605,-94.4720672
Monroe College - Bronx/New Rochelle,40.9102616,-73.7789532
Stockton University,39.4919685,-74.53097749999999
Coe College,41.98844090000001,-91.65897969999999
Illinois State University,40.5120479,-88.9931683
University of Hawaii at Manoa,21.296939,-157.8171118
Baldwin Wallace University,41.37111650000001,-81.8478088
The College of St. Scholastica,46.8163661,-92.1080999
California Lutheran University,34.2248993,-118.878853
Marietta College,39.4164811,-81.4498947
University of North Carolina - Greensboro,36.0689296,-79.8101976
Montclair State University,40.8665476,-74.1976196
University of Louisiana - Lafayette,30.2114404,-92.0204121
Shenandoah University,39.1660159,-78.1583388
University of South Dakota,42.7883015,-96.92533809999999
Abilene Christian University,32.469732,-99.70809799999999
West Texas A&M University,31.8023057,-97.0909551
Indiana Wesleyan University,40.5169946,-85.6626462
American Musical & Dramatic Academy New York,40.02514000000001,-76.200582
University of California - Merced,37.3660652,-120.4224179
CUNY City College of New York,40.8200471,-73.9492724
Montana Technological University,46.0116149,-112.5569969
University of St. Francis - Illinois,41.5332096,-88.09758579999999
Bowling Green State University,41.3797788,-83.6300826
Dunwoody College of Technology,44.9724015,-93.2904136
Salve Regina University,41.4714594,-71.30063679999999
Berklee College of Music,42.3482899,-71.0844836
University of Minnesota - Rochester,44.0223461,-92.4634102
Spalding University,38.2414273,-85.75741959999999
SUNY Oneonta,42.46876899999999,-75.06515499999999
"University at Albany, SUNY",42.6850273,-73.8247903
University of New Hampshire at Manchester,42.9871109,-71.4686876
California State Polytechnic University - Pomona,34.0583116,-117.8217728
Rowan University,39.7099689,-75.1191932
Texas A&M International University,30.6090918,-96.3337124
University of Alaska Southeast,58.38552139999999,-134.6407459
Jacksonville State University,33.8230953,-85.7681921
Vanguard University of Southern California,33.6616914,-117.9011209
St. Joseph's College - New York,40.6904914,-73.9676776
South Dakota State University,44.3191071,-96.78351819999999
Juniata College,40.5001397,-78.01589779999999
Simmons University,42.339063,-71.10043759999999
Xavier University,39.1499074,-84.4740892
California State University - Maritime Academy,38.0689193,-122.2303477
Minot State University,48.2486186,-101.3014106
College for Creative Studies,42.3674718,-83.07403169999999
Florida College,28.034575,-82.3834526
Saint Vincent College - Pennsylvania,40.2941827,-79.4000573
Western Washington University,48.7342877,-122.4866103
Nova Southeastern University,26.0800444,-80.2453353
Regis University,39.7896087,-105.0302396
Metropolitan State University - Minnesota,44.9574183,-93.07442730000001
Ball State University,40.2049604,-85.40628459999999
University of Wisconsin - Whitewater,42.8416843,-88.7427628
Indiana University-Purdue University - Indianapolis (IUPUI),39.7749927,-86.1772798
Trinity Christian College,41.6685006,-87.7829683
California State University - Northridge,34.2410366,-118.5276745
East Carolina University,35.6068806,-77.3665364
Pacific University Oregon,45.5243174,-123.1103252
Avila University,38.9123643,-94.59146989999999
Pittsburg State University,37.3902857,-94.6915709
"Minnesota State University, Mankato",44.1513247,-94.0005078
Andrews University,41.9646127,-86.35946609999999
University of Texas - Arlington,32.7292117,-97.11519709999999
Emporia State University,38.4162018,-96.1792715
Texas State University,29.888411,-97.938351
North Park University,41.975259,-87.70992299999999
